"Cost per conversation in GBP, effective June 1, 2023",,,,,,,
"Note: Authentication-International rate applies for Indonesia as of June 1, 2024 and India as of July 1, 2024. Refer to our developer documentation for more detail on this rate.",,,,,,,
Market,Currency,Marketing,Utility,Authentication,Authentication-International,Service,
Argentina,£,0.0445,0.0245,0.0264,n/a,0.0228,
Brazil,£,0.0451,0.0058,0.0227,n/a,0.0216,
Chile,£,0.0641,0.0144,0.038,n/a,0.0327,
Colombia,£,0.009,0.0001,0.0055,n/a,0.0043,
Egypt,£,0.0774,0.0038,0.0446,n/a,0.0464,
France,£,0.1033,0.0216,0.0499,n/a,0.062,
Germany,£,0.0985,0.0397,0.0554,n/a,0.0591,
India,£,0.0072,0.001,0.001,0.0202,0.0029,
Indonesia,£,0.0297,0.0144,0.0216,0.0979,0.0137,
Israel,£,0.0254,0.0038,0.0122,n/a,0.013,
Italy,£,0.0498,0.0216,0.0272,n/a,0.0278,
Malaysia,£,0.062,0.0101,0.013,n/a,0.0158,
Mexico,£,0.0315,0.0072,0.0173,n/a,0.0075,
Netherlands,£,0.1152,0.0361,0.0519,n/a,0.0643,
Nigeria,£,0.0372,0.0048,0.0207,n/a,0.0223,
Pakistan,£,0.0341,0.0039,0.0164,n/a,0.0102,
Peru,£,0.0507,0.0144,0.0272,n/a,0.0129,
Russia,£,0.0578,0.0288,0.031,n/a,0.0287,
Saudi Arabia,£,0.0292,0.0083,0.0163,n/a,0.014,
South Africa,£,0.0273,0.0055,0.013,n/a,0.0121,
Spain,£,0.0443,0.0144,0.0246,n/a,0.0266,
Turkey,£,0.0078,0.0038,0.006,n/a,0.0022,
United Arab Emirates,£,0.0245,0.0113,0.0128,n/a,0.0137,
United Kingdom,£,0.0509,0.0159,0.0259,n/a,0.028,2.8
North America,£,0.018,0.0029,0.0097,n/a,0.0064,
Rest of Africa,£,0.0162,0.0044,0.0104,n/a,0.0261,
Rest of Asia Pacific,£,0.0528,0.0113,0.0306,n/a,0.0161,
Rest of Central & Eastern Europe,£,0.062,0.0254,0.0402,n/a,0.0181,
Rest of Latin America,£,0.0534,0.0081,0.0321,n/a,0.0305,
Rest of Middle East,£,0.0246,0.0113,0.0128,n/a,0.0157,
Rest of Western Europe,£,0.0427,0.0216,0.0273,n/a,0.0286,
Other,£,0.0435,0.0056,0.0219,n/a,0.0104,
